time,voltage,voltage,current,current
0.001128,0.0258317,0.0345379,1.3815e-06,6.036953e-07
0.001129,0.0259378,0.0343903,1.3756e-06,6.03281e-07
0.00113,0.026044,0.0342427,1.3697e-06,6.028667e-07
0.001131,0.0261501,0.0340951,1.3638e-06,6.024524e-07
0.001132,0.0262563,0.0339476,1.3579e-06,6.020381e-07
0.001133,0.0263624,0.0338,1.352e-06,6.016239e-07
0.001134,0.0264686,0.0336524,1.3461e-06,6.012096e-07
0.001135,0.0265747,0.0335048,1.3402e-06,6.007953e-07
0.001136,0.0266809,0.0333573,1.3343e-06,6.00381e-07
0.001137,0.026787,0.0332097,1.3284e-06,5.999668e-07
0.001138,0.0268932,0.0330621,1.3225e-06,5.995525e-07
0.001139,0.0269993,0.0329145,1.3166e-06,5.991382e-07
0.00114,0.0271055,0.0327669,1.3107e-06,5.987239e-07
0.001141,0.0272116,0.0326194,1.3048e-06,5.983097e-07
0.001142,0.0273178,0.0324718,1.2989e-06,5.978954e-07
0.001143,0.0274239,0.0323242,1.293e-06,5.974811e-07
0.001144,0.0275301,0.0321766,1.2871e-06,5.970668e-07
0.001145,0.0276362,0.0320291,1.2812e-06,5.966526e-07
0.001146,0.0277311,0.0319306,1.2772e-06,5.966177e-07
0.001147,0.0278258,0.0318333,1.2733e-06,5.965917e-07
0.001148,0.0279205,0.0317361,1.2694e-06,5.965657e-07
0.001149,0.0280152,0.0316388,1.2656e-06,5.965397e-07
0.00115,0.0281099,0.0315415,1.2617e-06,5.965138e-07
0.001151,0.0282046,0.0314442,1.2578e-06,5.964878e-07
0.001152,0.0282992,0.0313469,1.2539e-06,5.964618e-07
0.001153,0.0283939,0.0312497,1.25e-06,5.964358e-07
0.001154,0.0284886,0.0311524,1.2461e-06,5.964099e-07
0.001155,0.0285833,0.0310551,1.2422e-06,5.963839e-07
0.001156,0.028678,0.0309578,1.2383e-06,5.963579e-07
0.001157,0.0287727,0.0308605,1.2344e-06,5.963319e-07
0.001158,0.0288673,0.0307633,1.2305e-06,5.963059e-07
0.001159,0.028962,0.030666,1.2266e-06,5.9628e-07
0.00116,0.0290567,0.0305687,1.2227e-06,5.96254e-07
0.001161,0.0291514,0.0304714,1.2189e-06,5.96228e-07
0.001162,0.0292461,0.0303741,1.215e-06,5.96202e-07
0.001163,0.0293408,0.0302768,1.2111e-06,5.961761e-07
0.001164,0.0294354,0.0301796,1.2072e-06,5.961501e-07
0.001165,0.0295301,0.0300823,1.2033e-06,5.961241e-07
0.001166,0.0296248,0.029985,1.1994e-06,5.960981e-07
0.001167,0.0297195,0.0298877,1.1955e-06,5.960721e-07
0.001168,0.0298142,0.0297904,1.1916e-06,5.960462e-07
0.001169,0.0299089,0.0296932,1.1877e-06,5.960202e-07
0.00117,0.0300035,0.0295959,1.1838e-06,5.959942e-07
0.001171,0.0300982,0.0294986,1.1799e-06,5.959682e-07
0.001172,0.0301929,0.0294013,1.1761e-06,5.959423e-07
0.001173,0.0302876,0.029304,1.1722e-06,5.959163e-07
0.001174,0.0303823,0.0292068,1.1683e-06,5.958903e-07
0.001175,0.030477,0.0291095,1.1644e-06,5.958643e-07
0.001176,0.0305716,0.0290122,1.1605e-06,5.958383e-07
0.001177,0.0306663,0.0289149,1.1566e-06,5.958124e-07
0.001178,0.030761,0.0288176,1.1527e-06,5.957864e-07
0.001179,0.0308557,0.0287204,1.1488e-06,5.957604e-07
0.00118,0.0309504,0.0286231,1.1449e-06,5.957344e-07
0.001181,0.031045,0.0285258,1.141e-06,5.957085e-07
0.001182,0.0311397,0.0284285,1.1371e-06,5.956825e-07
0.001183,0.0312344,0.0283312,1.1332e-06,5.956565e-07
0.001184,0.0313291,0.028234,1.1294e-06,5.956305e-07
0.001185,0.0314238,0.0281367,1.1255e-06,5.956046e-07
0.001186,0.0315185,0.0280394,1.1216e-06,5.955786e-07
0.001187,0.0316131,0.0279421,1.1177e-06,5.955526e-07
0.001188,0.0317078,0.0278448,1.1138e-06,5.955266e-07
0.001189,0.0318025,0.0277476,1.1099e-06,5.955006e-07
0.00119,0.0318972,0.0276503,1.106e-06,5.954747e-07
0.001191,0.0319919,0.027553,1.1021e-06,5.954487e-07
0.001192,0.0320866,0.0274557,1.0982e-06,5.954227e-07
0.001193,0.0321812,0.0273584,1.0943e-06,5.953967e-07
0.001194,0.0322759,0.0272612,1.0904e-06,5.953708e-07
0.001195,0.0323706,0.0271639,1.0866e-06,5.953448e-07
0.001196,0.0324653,0.0270666,1.0827e-06,5.953188e-07
0.001197,0.03256,0.0269693,1.0788e-06,5.952928e-07
0.001198,0.0326547,0.026872,1.0749e-06,5.952668e-07
0.001199,0.0327493,0.0267747,1.071e-06,5.952409e-07
0.0012,0.032844,0.0266775,1.0671e-06,5.952149e-07
0.001201,0.0329387,0.0265802,1.0632e-06,5.951889e-07
0.001202,0.0330334,0.0264829,1.0593e-06,5.951629e-07
0.001203,0.0331281,0.0263856,1.0554e-06,5.95137e-07
